Day, Date old,Month,Day,Year,Concatenate,DATE, Time
Friday, 2 October 1925,10,2,1925,10/2/1925,10/2/1925, 06:22:42 am
Saturday, 31 October 1925,10,31,1925,10/31/1925,10/31/1925, 06:16:30 pm
Monday, 30 November 1925,11,30,1925,11/30/1925,11/30/1925, 09:10:48 am
Wednesday, 30 December 1925,12,30,1925,12/30/1925,12/30/1925, 03:01:18 am
Thursday, 28 January 1926,1,28,1926,1/28/1926,1/28/1926, 10:35:12 pm
Saturday, 27 February 1926,2,27,1926,2/27/1926,2/27/1926, 05:50:36 pm
Monday, 29 March 1926,3,29,1926,3/29/1926,3/29/1926, 11:00:06 am
Wednesday, 28 April 1926,4,28,1926,4/28/1926,4/28/1926, 01:16:30 am
Thursday, 27 May 1926,5,27,1926,5/27/1926,5/27/1926, 12:48:30 pm
Friday, 25 June 1926,6,25,1926,6/25/1926,6/25/1926, 10:12:36 pm
Sunday, 25 July 1926,7,25,1926,7/25/1926,7/25/1926, 06:13:12 am
Monday, 23 August 1926,8,23,1926,8/23/1926,8/23/1926, 01:37:36 pm
Tuesday, 21 September 1926,9,21,1926,9/21/1926,9/21/1926, 09:18:54 pm
Thursday, 21 October 1926,10,21,1926,10/21/1926,10/21/1926, 06:15:00 am
Friday, 19 November 1926,11,19,1926,11/19/1926,11/19/1926, 05:20:54 pm
Sunday, 19 December 1926,12,19,1926,12/19/1926,12/19/1926, 07:08:36 am
Monday, 17 January 1927,1,17,1927,1/17/1927,1/17/1927, 11:26:42 pm
Wednesday, 16 February 1927,2,16,1927,2/16/1927,2/16/1927, 05:17:54 pm
Friday, 18 March 1927,3,18,1927,3/18/1927,3/18/1927, 11:24:00 am
Sunday, 17 April 1927,4,17,1927,4/17/1927,4/17/1927, 04:35:12 am
Monday, 16 May 1927,5,16,1927,5/16/1927,5/16/1927, 08:02:36 pm
Wednesday, 15 June 1927,6,15,1927,6/15/1927,6/15/1927, 09:19:12 am
Thursday, 14 July 1927,7,14,1927,7/14/1927,7/14/1927, 08:22:18 pm
Saturday, 13 August 1927,8,13,1927,8/13/1927,8/13/1927, 05:37:06 am
Sunday, 11 September 1927,9,11,1927,9/11/1927,9/11/1927, 01:53:42 pm
Monday, 10 October 1927,10,10,1927,10/10/1927,10/10/1927, 10:14:30 pm
Wednesday, 9 November 1927,11,9,1927,11/9/1927,11/9/1927, 07:36:00 am
Thursday, 8 December 1927,12,8,1927,12/8/1927,12/8/1927, 06:31:48 pm
Saturday, 7 January 1928,1,7,1928,1/7/1928,1/7/1928, 07:07:36 am
Sunday, 5 February 1928,2,5,1928,2/5/1928,2/5/1928, 09:10:48 pm
Tuesday, 6 March 1928,3,6,1928,3/6/1928,3/6/1928, 12:26:48 pm
Thursday, 5 April 1928,4,5,1928,4/5/1928,4/5/1928, 04:38:12 am
Friday, 4 May 1928,5,4,1928,5/4/1928,5/4/1928, 09:11:42 pm
Sunday, 3 June 1928,6,3,1928,6/3/1928,6/3/1928, 01:13:18 pm
Tuesday, 3 July 1928,7,3,1928,7/3/1928,7/3/1928, 03:48:24 am
Wednesday, 1 August 1928,8,1,1928,8/1/1928,8/1/1928, 04:30:24 pm
Friday, 31 August 1928,8,31,1928,8/31/1928,8/31/1928, 03:33:54 am
Saturday, 29 September 1928,9,29,1928,9/29/1928,9/29/1928, 01:42:24 pm
Sunday, 28 October 1928,10,28,1928,10/28/1928,10/28/1928, 11:43:12 pm
Tuesday, 27 November 1928,11,27,1928,11/27/1928,11/27/1928, 10:05:24 am
Wednesday, 26 December 1928,12,26,1928,12/26/1928,12/26/1928, 08:54:36 pm
Friday, 25 January 1929,1,25,1929,1/25/1929,1/25/1929, 08:09:00 am
Saturday, 23 February 1929,2,23,1929,2/23/1929,2/23/1929, 07:58:30 pm
Monday, 25 March 1929,3,25,1929,3/25/1929,3/25/1929, 08:46:06 am
Tuesday, 23 April 1929,4,23,1929,4/23/1929,4/23/1929, 10:47:18 pm
Thursday, 23 May 1929,5,23,1929,5/23/1929,5/23/1929, 01:49:42 pm
Saturday, 22 June 1929,6,22,1929,6/22/1929,6/22/1929, 05:14:54 am
Sunday, 21 July 1929,7,21,1929,7/21/1929,7/21/1929, 08:20:36 pm
Tuesday, 20 August 1929,8,20,1929,8/20/1929,8/20/1929, 10:42:12 am
Thursday, 19 September 1929,9,19,1929,9/19/1929,9/19/1929, 12:15:42 am
Friday, 18 October 1929,10,18,1929,10/18/1929,10/18/1929, 01:05:48 pm
Sunday, 17 November 1929,11,17,1929,11/17/1929,11/17/1929, 01:14:06 am
Monday, 16 December 1929,12,16,1929,12/16/1929,12/16/1929, 12:38:06 pm
Tuesday, 14 January 1930,1,14,1930,1/14/1930,1/14/1930, 11:20:54 pm
Thursday, 13 February 1930,2,13,1930,2/13/1930,2/13/1930, 09:38:30 am
Friday, 14 March 1930,3,14,1930,3/14/1930,3/14/1930, 07:58:12 pm
Sunday, 13 April 1930,4,13,1930,4/13/1930,4/13/1930, 06:48:24 am
Monday, 12 May 1930,5,12,1930,5/12/1930,5/12/1930, 06:29:12 pm
Wednesday, 11 June 1930,6,11,1930,6/11/1930,6/11/1930, 07:11:36 am
Thursday, 10 July 1930,7,10,1930,7/10/1930,7/10/1930, 09:01:00 pm
Saturday, 9 August 1930,8,9,1930,8/9/1930,8/9/1930, 11:57:30 am
Monday, 8 September 1930,9,8,1930,9/8/1930,9/8/1930, 03:47:42 am
Tuesday, 7 October 1930,10,7,1930,10/7/1930,10/7/1930, 07:55:30 pm
Thursday, 6 November 1930,11,6,1930,11/6/1930,11/6/1930, 11:28:06 am
Saturday, 6 December 1930,12,6,1930,12/6/1930,12/6/1930, 01:39:48 am
Sunday, 4 January 1931,1,4,1931,1/4/1931,1/4/1931, 02:14:48 pm
Tuesday, 3 February 1931,2,3,1931,2/3/1931,2/3/1931, 01:25:48 am
Wednesday, 4 March 1931,3,4,1931,3/4/1931,3/4/1931, 11:35:54 am
Thursday, 2 April 1931,4,2,1931,4/2/1931,4/2/1931, 09:05:24 pm
Saturday, 2 May 1931,5,2,1931,5/2/1931,5/2/1931, 06:14:18 am
Sunday, 31 May 1931,5,31,1931,5/31/1931,5/31/1931, 03:32:54 pm
Tuesday, 30 June 1931,6,30,1931,6/30/1931,6/30/1931, 01:46:48 am
Wednesday, 29 July 1931,7,29,1931,7/29/1931,7/29/1931, 01:47:24 pm
Friday, 28 August 1931,8,28,1931,8/28/1931,8/28/1931, 04:09:24 am
Saturday, 26 September 1931,9,26,1931,9/26/1931,9/26/1931, 08:44:48 pm
Monday, 26 October 1931,10,26,1931,10/26/1931,10/26/1931, 02:33:54 pm
Wednesday, 25 November 1931,11,25,1931,11/25/1931,11/25/1931, 08:09:48 am
Friday, 25 December 1931,12,25,1931,12/25/1931,12/25/1931, 12:23:24 am
Saturday, 23 January 1932,1,23,1932,1/23/1932,1/23/1932, 02:44:06 pm
Monday, 22 February 1932,2,22,1932,2/22/1932,2/22/1932, 03:07:18 am
Tuesday, 22 March 1932,3,22,1932,3/22/1932,3/22/1932, 01:37:18 pm
Wednesday, 20 April 1932,4,20,1932,4/20/1932,4/20/1932, 10:27:00 pm
Friday, 20 May 1932,5,20,1932,5/20/1932,5/20/1932, 06:08:36 am
Saturday, 18 June 1932,6,18,1932,6/18/1932,6/18/1932, 01:38:00 pm
Sunday, 17 July 1932,7,17,1932,7/17/1932,7/17/1932, 10:06:12 pm
Tuesday, 16 August 1932,8,16,1932,8/16/1932,8/16/1932, 08:41:24 am
Wednesday, 14 September 1932,9,14,1932,9/14/1932,9/14/1932, 10:06:00 pm
Friday, 14 October 1932,10,14,1932,10/14/1932,10/14/1932, 02:17:36 pm
Sunday, 13 November 1932,11,13,1932,11/13/1932,11/13/1932, 08:28:00 am
Tuesday, 13 December 1932,12,13,1932,12/13/1932,12/13/1932, 03:20:54 am
Wednesday, 11 January 1933,1,11,1933,1/11/1933,1/11/1933, 09:35:36 pm
Friday, 10 February 1933,2,10,1933,2/10/1933,2/10/1933, 02:00:24 pm
Sunday, 12 March 1933,3,12,1933,3/12/1933,3/12/1933, 03:45:36 am
Monday, 10 April 1933,4,10,1933,4/10/1933,4/10/1933, 02:37:36 pm
Tuesday, 9 May 1933,5,9,1933,5/9/1933,5/9/1933, 11:04:18 pm
Thursday, 8 June 1933,6,8,1933,6/8/1933,6/8/1933, 06:04:36 am
Friday, 7 July 1933,7,7,1933,7/7/1933,7/7/1933, 12:50:30 pm
Saturday, 5 August 1933,8,5,1933,8/5/1933,8/5/1933, 08:31:30 pm
Monday, 4 September 1933,9,4,1933,9/4/1933,9/4/1933, 06:04:18 am
Tuesday, 3 October 1933,10,3,1933,10/3/1933,10/3/1933, 06:07:36 pm
Thursday, 2 November 1933,11,2,1933,11/2/1933,11/2/1933, 08:59:12 am
Saturday, 2 December 1933,12,2,1933,12/2/1933,12/2/1933, 02:30:54 am
Sunday, 31 December 1933,12,31,1933,12/31/1933,12/31/1933, 09:53:54 pm
Tuesday, 30 January 1934,1,30,1934,1/30/1934,1/30/1934, 05:31:24 pm
Thursday, 1 March 1934,3,1,1934,3/1/1934,3/1/1934, 11:25:36 am
Saturday, 31 March 1934,3,31,1934,3/31/1934,3/31/1934, 02:14:30 am
Sunday, 29 April 1934,4,29,1934,4/29/1934,4/29/1934, 01:45:24 pm
Monday, 28 May 1934,5,28,1934,5/28/1934,5/28/1934, 10:41:18 pm
Wednesday, 27 June 1934,6,27,1934,6/27/1934,6/27/1934, 06:07:48 am
Thursday, 26 July 1934,7,26,1934,7/26/1934,7/26/1934, 01:08:30 pm
Friday, 24 August 1934,8,24,1934,8/24/1934,8/24/1934, 08:36:42 pm
Sunday, 23 September 1934,9,23,1934,9/23/1934,9/23/1934, 05:18:48 am
Monday, 22 October 1934,10,22,1934,10/22/1934,10/22/1934, 04:01:00 pm
Wednesday, 21 November 1934,11,21,1934,11/21/1934,11/21/1934, 05:26:12 am
Thursday, 20 December 1934,12,20,1934,12/20/1934,12/20/1934, 09:53:12 pm
Saturday, 19 January 1935,1,19,1935,1/19/1935,1/19/1935, 04:44:12 pm
Monday, 18 February 1935,2,18,1935,2/18/1935,2/18/1935, 12:17:06 pm
Wednesday, 20 March 1935,3,20,1935,3/20/1935,3/20/1935, 06:31:18 am
Thursday, 18 April 1935,4,18,1935,4/18/1935,4/18/1935, 10:09:36 pm
Saturday, 18 May 1935,5,18,1935,5/18/1935,5/18/1935, 10:57:00 am
Sunday, 16 June 1935,6,16,1935,6/16/1935,6/16/1935, 09:20:00 pm
Tuesday, 16 July 1935,7,16,1935,7/16/1935,7/16/1935, 06:00:24 am
Wednesday, 14 August 1935,8,14,1935,8/14/1935,8/14/1935, 01:43:30 pm
Thursday, 12 September 1935,9,12,1935,9/12/1935,9/12/1935, 09:18:12 pm
Saturday, 12 October 1935,10,12,1935,10/12/1935,10/12/1935, 05:39:00 am
Sunday, 10 November 1935,11,10,1935,11/10/1935,11/10/1935, 03:41:42 pm
Tuesday, 10 December 1935,12,10,1935,12/10/1935,12/10/1935, 04:10:12 am
Wednesday, 8 January 1936,1,8,1936,1/8/1936,1/8/1936, 07:14:36 pm
Friday, 7 February 1936,2,7,1936,2/7/1936,2/7/1936, 12:18:48 pm
Sunday, 8 March 1936,3,8,1936,3/8/1936,3/8/1936, 06:13:30 am
Monday, 6 April 1936,4,6,1936,4/6/1936,4/6/1936, 11:46:18 pm
Wednesday, 6 May 1936,5,6,1936,5/6/1936,5/6/1936, 04:01:06 pm
Friday, 5 June 1936,6,5,1936,6/5/1936,6/5/1936, 06:22:18 am
Saturday, 4 July 1936,7,4,1936,7/4/1936,7/4/1936, 06:34:24 pm
Monday, 3 August 1936,8,3,1936,8/3/1936,8/3/1936, 04:47:12 am
Tuesday, 1 September 1936,9,1,1936,9/1/1936,9/1/1936, 01:37:18 pm
Wednesday, 30 September 1936,9,30,1936,9/30/1936,9/30/1936, 10:00:48 pm
Friday, 30 October 1936,10,30,1936,10/30/1936,10/30/1936, 06:57:30 am
Saturday, 28 November 1936,11,28,1936,11/28/1936,11/28/1936, 05:11:48 pm
Monday, 28 December 1936,12,28,1936,12/28/1936,12/28/1936, 05:00:06 am
Tuesday, 26 January 1937,1,26,1937,1/26/1937,1/26/1937, 06:15:18 pm
Thursday, 25 February 1937,2,25,1937,2/25/1937,2/25/1937, 08:43:12 am
Saturday, 27 March 1937,3,27,1937,3/27/1937,3/27/1937, 12:12:12 am
Sunday, 25 April 1937,4,25,1937,4/25/1937,4/25/1937, 04:23:30 pm
Tuesday, 25 May 1937,5,25,1937,5/25/1937,5/25/1937, 08:37:36 am
Wednesday, 23 June 1937,6,23,1937,6/23/1937,6/23/1937, 11:59:30 pm
Friday, 23 July 1937,7,23,1937,7/23/1937,7/23/1937, 01:45:30 pm
Sunday, 22 August 1937,8,22,1937,8/22/1937,8/22/1937, 01:47:00 am
Monday, 20 September 1937,9,20,1937,9/20/1937,9/20/1937, 12:32:24 pm
Tuesday, 19 October 1937,10,19,1937,10/19/1937,10/19/1937, 10:47:24 pm
Thursday, 18 November 1937,11,18,1937,11/18/1937,11/18/1937, 09:09:30 am
Friday, 17 December 1937,12,17,1937,12/17/1937,12/17/1937, 07:52:24 pm
Sunday, 16 January 1938,1,16,1938,1/16/1938,1/16/1938, 06:53:18 am
Monday, 14 February 1938,2,14,1938,2/14/1938,2/14/1938, 06:14:24 pm
Wednesday, 16 March 1938,3,16,1938,3/16/1938,3/16/1938, 06:15:06 am
Thursday, 14 April 1938,4,14,1938,4/14/1938,4/14/1938, 07:20:48 pm
Saturday, 14 May 1938,5,14,1938,5/14/1938,5/14/1938, 09:38:54 am
Monday, 13 June 1938,6,13,1938,6/13/1938,6/13/1938, 12:47:00 am
Tuesday, 12 July 1938,7,12,1938,7/12/1938,7/12/1938, 04:04:30 pm
Thursday, 11 August 1938,8,11,1938,8/11/1938,8/11/1938, 06:56:48 am
Friday, 9 September 1938,9,9,1938,9/9/1938,9/9/1938, 09:08:06 pm
Sunday, 9 October 1938,10,9,1938,10/9/1938,10/9/1938, 10:37:00 am
Monday, 7 November 1938,11,7,1938,11/7/1938,11/7/1938, 11:23:24 pm
Wednesday, 7 December 1938,12,7,1938,12/7/1938,12/7/1938, 11:22:06 am
Thursday, 5 January 1939,1,5,1939,1/5/1939,1/5/1939, 10:29:42 pm
Saturday, 4 February 1939,2,4,1939,2/4/1939,2/4/1939, 08:54:36 am
Sunday, 5 March 1939,3,5,1939,3/5/1939,3/5/1939, 07:00:24 pm
Tuesday, 4 April 1939,4,4,1939,4/4/1939,4/4/1939, 05:18:00 am
Wednesday, 3 May 1939,5,3,1939,5/3/1939,5/3/1939, 04:15:18 pm
Friday, 2 June 1939,6,2,1939,6/2/1939,6/2/1939, 04:10:54 am
Saturday, 1 July 1939,7,1,1939,7/1/1939,7/1/1939, 05:16:00 pm
Monday, 31 July 1939,7,31,1939,7/31/1939,7/31/1939, 07:36:30 am
Tuesday, 29 August 1939,8,29,1939,8/29/1939,8/29/1939, 11:08:36 pm
Thursday, 28 September 1939,9,28,1939,9/28/1939,9/28/1939, 03:27:00 pm
Saturday, 28 October 1939,10,28,1939,10/28/1939,10/28/1939, 07:41:36 am
Sunday, 26 November 1939,11,26,1939,11/26/1939,11/26/1939, 10:54:18 pm
Tuesday, 26 December 1939,12,26,1939,12/26/1939,12/26/1939, 12:28:24 pm
Thursday, 25 January 1940,1,25,1940,1/25/1940,1/25/1940, 12:21:54 am
Friday, 23 February 1940,2,23,1940,2/23/1940,2/23/1940, 10:55:24 am
Saturday, 23 March 1940,3,23,1940,3/23/1940,3/23/1940, 08:33:12 pm
Monday, 22 April 1940,4,22,1940,4/22/1940,4/22/1940, 06:36:54 am
Tuesday, 21 May 1940,5,21,1940,5/21/1940,5/21/1940, 03:32:54 pm
Thursday, 20 June 1940,6,20,1940,6/20/1940,6/20/1940, 01:01:36 am
Friday, 19 July 1940,7,19,1940,7/19/1940,7/19/1940, 11:55:18 am
Sunday, 18 August 1940,8,18,1940,8/18/1940,8/18/1940, 01:02:24 am
Monday, 16 September 1940,9,16,1940,9/16/1940,9/16/1940, 04:40:42 pm
Wednesday, 16 October 1940,10,16,1940,10/16/1940,10/16/1940, 10:14:54 am
Friday, 15 November 1940,11,15,1940,11/15/1940,11/15/1940, 04:23:12 am
Saturday, 14 December 1940,12,14,1940,12/14/1940,12/14/1940, 09:37:36 pm
Monday, 13 January 1941,1,13,1941,1/13/1941,1/13/1941, 01:04:00 pm
Wednesday, 12 February 1941,2,12,1941,2/12/1941,2/12/1941, 02:26:24 am
Thursday, 13 March 1941,3,13,1941,3/13/1941,3/13/1941, 01:46:42 pm
Friday, 11 April 1941,4,11,1941,4/11/1941,4/11/1941, 11:15:00 pm
Sunday, 11 May 1941,5,11,1941,5/11/1941,5/11/1941, 07:15:18 am
Monday, 9 June 1941,6,9,1941,6/9/1941,6/9/1941, 02:34:00 pm
Tuesday, 8 July 1941,7,8,1941,7/8/1941,7/8/1941, 10:17:18 pm
Thursday, 7 August 1941,8,7,1941,8/7/1941,8/7/1941, 07:38:18 am
Friday, 5 September 1941,9,5,1941,9/5/1941,9/5/1941, 07:35:54 pm
Sunday, 5 October 1941,10,5,1941,10/5/1941,10/5/1941, 10:32:12 am
Tuesday, 4 November 1941,11,4,1941,11/4/1941,11/4/1941, 03:59:42 am
Wednesday, 3 December 1941,12,3,1941,12/3/1941,12/3/1941, 10:50:54 pm
Friday, 2 January 1942,1,2,1942,1/2/1942,1/2/1942, 05:41:42 pm
Sunday, 1 February 1942,2,1,1942,2/1/1942,2/1/1942, 11:12:18 am
Tuesday, 3 March 1942,3,3,1942,3/3/1942,3/3/1942, 02:19:48 am
Wednesday, 1 April 1942,4,1,1942,4/1/1942,4/1/1942, 02:32:12 pm
Thursday, 30 April 1942,4,30,1942,4/30/1942,4/30/1942, 11:59:30 pm
Saturday, 30 May 1942,5,30,1942,5/30/1942,5/30/1942, 07:28:54 am
Sunday, 28 June 1942,6,28,1942,6/28/1942,6/28/1942, 02:09:18 pm
Monday, 27 July 1942,7,27,1942,7/27/1942,7/27/1942, 09:13:36 pm
Wednesday, 26 August 1942,8,26,1942,8/26/1942,8/26/1942, 05:46:06 am
Thursday, 24 September 1942,9,24,1942,9/24/1942,9/24/1942, 04:34:06 pm
Saturday, 24 October 1942,10,24,1942,10/24/1942,10/24/1942, 06:05:18 am
Sunday, 22 November 1942,11,22,1942,11/22/1942,11/22/1942, 09:24:12 pm
Tuesday, 22 December 1942,12,22,1942,12/22/1942,12/22/1942, 04:03:06 pm
Thursday, 21 January 1943,1,21,1943,1/21/1943,1/21/1943, 11:47:48 am
Saturday, 20 February 1943,2,20,1943,2/20/1943,2/20/1943, 06:44:42 am
Sunday, 21 March 1943,3,21,1943,3/21/1943,3/21/1943, 11:08:00 pm
Tuesday, 20 April 1943,4,20,1943,4/20/1943,4/20/1943, 01:10:30 pm
Wednesday, 19 May 1943,5,19,1943,5/19/1943,5/19/1943, 11:12:48 pm
Friday, 18 June 1943,6,18,1943,6/18/1943,6/18/1943, 07:14:00 am
Saturday, 17 July 1943,7,17,1943,7/17/1943,7/17/1943, 02:21:30 pm
Sunday, 15 August 1943,8,15,1943,8/15/1943,8/15/1943, 09:33:54 pm
Tuesday, 14 September 1943,9,14,1943,9/14/1943,9/14/1943, 05:39:36 am
Wednesday, 13 October 1943,10,13,1943,10/13/1943,10/13/1943, 02:22:36 pm
Friday, 12 November 1943,11,12,1943,11/12/1943,11/12/1943, 02:26:36 am
Saturday, 11 December 1943,12,11,1943,12/11/1943,12/11/1943, 05:24:24 pm
Monday, 10 January 1944,1,10,1944,1/10/1944,1/10/1944, 11:09:18 am
Wednesday, 9 February 1944,2,9,1944,2/9/1944,2/9/1944, 06:29:30 am
Friday, 10 March 1944,3,10,1944,3/10/1944,3/10/1944, 01:27:36 am
Saturday, 8 April 1944,4,8,1944,4/8/1944,4/8/1944, 07:21:36 pm
Monday, 8 May 1944,5,8,1944,5/8/1944,5/8/1944, 09:28:06 am
Tuesday, 6 June 1944,6,6,1944,6/6/1944,6/6/1944, 08:57:36 pm
Thursday, 6 July 1944,7,6,1944,7/6/1944,7/6/1944, 06:26:42 am
Friday, 4 August 1944,8,4,1944,8/4/1944,8/4/1944, 02:39:12 pm
Saturday, 2 September 1944,9,2,1944,9/2/1944,9/2/1944, 10:20:54 pm
Monday, 2 October 1944,10,2,1944,10/2/1944,10/2/1944, 05:21:42 am
Tuesday, 31 October 1944,10,31,1944,10/31/1944,10/31/1944, 02:35:24 pm
Thursday, 30 November 1944,11,30,1944,11/30/1944,11/30/1944, 01:51:42 am
Friday, 29 December 1944,12,29,1944,12/29/1944,12/29/1944, 03:38:06 pm
Sunday, 28 January 1945,1,28,1945,1/28/1945,1/28/1945, 07:41:06 am
Tuesday, 27 February 1945,2,27,1945,2/27/1945,2/27/1945, 01:06:42 am
Wednesday, 28 March 1945,3,28,1945,3/28/1945,3/28/1945, 06:44:24 pm
Friday, 27 April 1945,4,27,1945,4/27/1945,4/27/1945, 12:32:42 pm
Sunday, 27 May 1945,5,27,1945,5/27/1945,5/27/1945, 04:48:48 am
Monday, 25 June 1945,6,25,1945,6/25/1945,6/25/1945, 06:07:54 pm
Wednesday, 25 July 1945,7,25,1945,7/25/1945,7/25/1945, 05:25:30 am
Thursday, 23 August 1945,8,23,1945,8/23/1945,8/23/1945, 03:02:54 pm
Friday, 21 September 1945,9,21,1945,9/21/1945,9/21/1945, 11:45:36 pm
Sunday, 21 October 1945,10,21,1945,10/21/1945,10/21/1945, 07:31:42 am
Monday, 19 November 1945,11,19,1945,11/19/1945,11/19/1945, 04:12:48 pm
Wednesday, 19 December 1945,12,19,1945,12/19/1945,12/19/1945, 03:17:24 am
Thursday, 17 January 1946,1,17,1946,1/17/1946,1/17/1946, 03:46:30 pm
Saturday, 16 February 1946,2,16,1946,2/16/1946,2/16/1946, 05:27:48 am
Sunday, 17 March 1946,3,17,1946,3/17/1946,3/17/1946, 08:11:00 pm
Tuesday, 16 April 1946,4,16,1946,4/16/1946,4/16/1946, 12:47:00 pm
Thursday, 16 May 1946,5,16,1946,5/16/1946,5/16/1946, 04:52:30 am
Friday, 14 June 1946,6,14,1946,6/14/1946,6/14/1946, 08:41:36 pm
Sunday, 14 July 1946,7,14,1946,7/14/1946,7/14/1946, 11:22:36 am
Tuesday, 13 August 1946,8,13,1946,8/13/1946,8/13/1946, 12:25:48 am
Wednesday, 11 September 1946,9,11,1946,9/11/1946,9/11/1946, 11:59:24 am
Thursday, 10 October 1946,10,10,1946,10/10/1946,10/10/1946, 09:40:24 pm
Saturday, 9 November 1946,11,9,1946,11/9/1946,11/9/1946, 08:10:12 am
Sunday, 8 December 1946,12,8,1946,12/8/1946,12/8/1946, 06:52:00 pm
Tuesday, 7 January 1947,1,7,1947,1/7/1947,1/7/1947, 05:46:42 am
Wednesday, 5 February 1947,2,5,1947,2/5/1947,2/5/1947, 04:50:24 pm
Friday, 7 March 1947,3,7,1947,3/7/1947,3/7/1947, 04:15:06 am
Saturday, 5 April 1947,4,5,1947,4/5/1947,4/5/1947, 04:28:18 pm
Monday, 5 May 1947,5,5,1947,5/5/1947,5/5/1947, 06:53:12 am
Tuesday, 3 June 1947,6,3,1947,6/3/1947,6/3/1947, 10:26:42 pm
Thursday, 3 July 1947,7,3,1947,7/3/1947,7/3/1947, 12:38:30 pm
Saturday, 2 August 1947,8,2,1947,8/2/1947,8/2/1947, 03:49:54 am
Sunday, 31 August 1947,8,31,1947,8/31/1947,8/31/1947, 06:34:00 pm
Tuesday, 30 September 1947,9,30,1947,9/30/1947,9/30/1947, 08:40:48 am
Wednesday, 29 October 1947,10,29,1947,10/29/1947,10/29/1947, 09:06:48 pm
Friday, 28 November 1947,11,28,1947,11/28/1947,11/28/1947, 09:45:12 am
Saturday, 27 December 1947,12,27,1947,12/27/1947,12/27/1947, 09:26:54 pm
Monday, 26 January 1948,1,26,1948,1/26/1948,1/26/1948, 08:11:24 am
Tuesday, 24 February 1948,2,24,1948,2/24/1948,2/24/1948, 06:15:36 pm
Thursday, 25 March 1948,3,25,1948,3/25/1948,3/25/1948, 04:10:06 am
Friday, 23 April 1948,4,23,1948,4/23/1948,4/23/1948, 03:28:18 pm
Sunday, 23 May 1948,5,23,1948,5/23/1948,5/23/1948, 02:37:00 am
Monday, 21 June 1948,6,21,1948,6/21/1948,6/21/1948, 02:54:00 pm
Wednesday, 21 July 1948,7,21,1948,7/21/1948,7/21/1948, 04:31:00 am
Thursday, 19 August 1948,8,19,1948,8/19/1948,8/19/1948, 07:31:42 pm
Saturday, 18 September 1948,9,18,1948,9/18/1948,9/18/1948, 11:42:48 am
Monday, 18 October 1948,10,18,1948,10/18/1948,10/18/1948, 03:23:24 am
Tuesday, 16 November 1948,11,16,1948,11/16/1948,11/16/1948, 07:31:24 pm
Thursday, 16 December 1948,12,16,1948,12/16/1948,12/16/1948, 10:10:54 am
Friday, 14 January 1949,1,14,1949,1/14/1949,1/14/1949, 10:59:30 pm
Sunday, 13 February 1949,2,13,1949,2/13/1949,2/13/1949, 10:08:12 am
Monday, 14 March 1949,3,14,1949,3/14/1949,3/14/1949, 08:02:48 pm
Wednesday, 13 April 1949,4,13,1949,4/13/1949,4/13/1949, 06:08:24 am
Thursday, 12 May 1949,5,12,1949,5/12/1949,5/12/1949, 02:50:48 pm
Friday, 10 June 1949,6,10,1949,6/10/1949,6/10/1949, 11:45:12 pm
Sunday, 10 July 1949,7,10,1949,7/10/1949,7/10/1949, 09:41:06 am
Monday, 8 August 1949,8,8,1949,8/8/1949,8/8/1949, 09:33:12 pm
Wednesday, 7 September 1949,9,7,1949,9/7/1949,9/7/1949, 11:59:18 am
Friday, 7 October 1949,10,7,1949,10/7/1949,10/7/1949, 03:52:36 am
Saturday, 5 November 1949,11,5,1949,11/5/1949,11/5/1949, 10:09:00 pm
Monday, 5 December 1949,12,5,1949,12/5/1949,12/5/1949, 04:13:30 pm
Wednesday, 4 January 1950,1,4,1950,1/4/1950,1/4/1950, 08:47:48 am
Thursday, 2 February 1950,2,2,1950,2/2/1950,2/2/1950, 11:16:06 pm
Saturday, 4 March 1950,3,4,1950,3/4/1950,3/4/1950, 11:33:48 am
Sunday, 2 April 1950,4,2,1950,4/2/1950,4/2/1950, 09:48:48 pm
Tuesday, 2 May 1950,5,2,1950,5/2/1950,5/2/1950, 06:19:30 am
Wednesday, 31 May 1950,5,31,1950,5/31/1950,5/31/1950, 01:43:00 pm
Thursday, 29 June 1950,6,29,1950,6/29/1950,6/29/1950, 08:58:06 pm
Saturday, 29 July 1950,7,29,1950,7/29/1950,7/29/1950, 05:17:36 am
Sunday, 27 August 1950,8,27,1950,8/27/1950,8/27/1950, 03:50:54 pm
Tuesday, 26 September 1950,9,26,1950,9/26/1950,9/26/1950, 05:21:24 am
Wednesday, 25 October 1950,10,25,1950,10/25/1950,10/25/1950, 09:46:24 pm
Friday, 24 November 1950,11,24,1950,11/24/1950,11/24/1950, 04:14:06 pm
Sunday, 24 December 1950,12,24,1950,12/24/1950,12/24/1950, 11:22:54 am
Tuesday, 23 January 1951,1,23,1951,1/23/1951,1/23/1951, 05:47:00 am
Wednesday, 21 February 1951,2,21,1951,2/21/1951,2/21/1951, 10:12:12 pm
Friday, 23 March 1951,3,23,1951,3/23/1951,3/23/1951, 11:49:48 am
Saturday, 21 April 1951,4,21,1951,4/21/1951,4/21/1951, 10:29:54 pm
Monday, 21 May 1951,5,21,1951,5/21/1951,5/21/1951, 06:44:42 am
Tuesday, 19 June 1951,6,19,1951,6/19/1951,6/19/1951, 01:35:54 pm
Wednesday, 18 July 1951,7,18,1951,7/18/1951,7/18/1951, 08:17:24 pm
